DateCreated,Status,OrganizationType,Name,ShortName,Affiliated School,Membership Type,Approximate year the organization was founded at UVA,"Please list 3-5 Primary Events/Programs that your CIO hosts each year. If you do not have annual recurring events,please list some of the events/programs you hosted this past year.",Total number of Members (approximate),"Approximate membership dues per academic year (if zero,please write ""zero"")","Approximately,how much money do members spend out of pocket per academic year,not including dues,for your CIO activities? (write the number,don't include $)","Please list your primary sources of funding (SAF,fundraisers,national organizations,alumni,departments,etc.)","Not including SAF,approximately how much money does your organization fundraise per academic year?",Does???ˇthis organization require an application or an interview/audition process to join?,How frequently does???ˇthis organization meet?,"Approximately how many hours/week do non-exec members spend on your organization's activities (meetings,events,planning,etc.)?",When does???ˇthis organization elect new officers?,When does???ˇthis organization do recruitment/membership intake?,"Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Marketing","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Planning Events","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Reserving Spaces","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Fundraising/Budgeting/Co-Sponsorships","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Transitioning Officers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Recruiting New Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Delegation","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Community Building/Icebreakers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Motivating Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Holding Members Accountable","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Developing a Mission/Vision","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Collaboration (with other CIOs,the community,faculty/staff,etc.)","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Other",Are you the 2020-2021 incoming President OR a 2020-2021 returning member/officer????ˇ,Are you a first time President?
4/20/2020 17:37,Approved,Contracted Independent Organization,Virginia Homecomings,Homecomings,No affiliated schools,Predominantly Undergraduate Students,1995,#ERROR!,45,zero,0,Alumni,0,Neither,Weekly,2-Jan,September,Fall semester,Marketing,,Reserving Spaces,,,Recruiting New Members,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/23/2020 21:42,Approved,Contracted Independent Organization,Sales and Trading Group at McIntire,STGM,Commerce (McIntire),Predominantly Undergraduate Students,2010,"Presentations from faculty, professionals and students; trading simulations and education primers on asset classes.",60,Zero,0,Commerce Council Funding,0,Neither,Weekly,3-Feb,March ,Fall & Spring Semester,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/24/2020 13:52,Approved,Contracted Independent Organization,SpongeBob Club,,No affiliated schools,Predominantly Undergraduate Students,2016,"We have a recurring meeting every other week. These meetings are the foundation of our club. On the off weeks we hold Executive Board meetings. Occasionally we will host larger events, like our Zoom SpongeBob Trivia event co-hosted by UPC that occurred in April 2020.",50,zero,0,Currently we have no sources on funding,0,Neither,Weekly,1,April ,Members can join at any time,Marketing,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"No, I am not, but I am the only one who makes sense to renew the organization at this time.","No, I am a returning President for this organization"
4/29/2020 21:14,Approved,Contracted Independent Organization,Omega Chi Epsilon,OXE,Engineering,Predominantly Undergraduate Students,2005,1. Tutoring and other academic services2. Professional activities3. Fundraising events,25,30,0,Dues,0,Neither,Once or twice a semester,1,March ,Fall semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","No, I have held a President position for other organizations, but this is my first time as President of this organization"
4/18/2020 14:33,Approved,Contracted Independent Organization,Alpha Chi Sigma Co-ed Professional Chemistry Fraternity,AXE,Arts and Sciences,Predominantly Undergraduate Students,1922,Hosting speakers for the chemistry department; alumni mentoring and networking events; magic shows and science demonstrations for elementary schools and community organizations; social activities to promote brotherhood bonding,30,$200 ,0,Dues,$0 ,Application,Weekly,3,November,Spring Semester,,Planning Events,Reserving Spaces,,,Recruiting New Members,,,,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/30/2020 18:21,Approved,Contracted Independent Organization,Washington Literary Society and Debating Union,Washington Society,No affiliated schools,Both Undergraduate and Graduate Students,1831,Inter-Societal Debates Original/ Non-Original Literary Competitions UVA Chapel Debate,80,6100,0,"Dues, Alumni",0,Neither,Weekly,10,November,Fall & Spring Semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/8/2020 11:12,Approved,CIO - Law ,Virginia Law and Business Society at The University of Virginia School of Law ,VLBS,Law,Predominantly Graduate Students,1981,Law and Business Professor Lunch; Annual Law and Business Reception; Firm Spotlights; Symposiums; Private speakers associated with the law and business community.,200,10,0,"Dues, firm and organization co-sponsors for events, the Law School Foundation",0,Neither,Monthly,1,March ,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/27/2020 17:37,Approved,Contracted Independent Organization,Gizmologists,,Engineering,Both Undergraduate and Graduate Students,-,"Last year, we built many small-scale projects that interacted together to form a final interactive project: the Escape Room! The final Escape Room was rotunda-themed, and consisted of six mechatronic elements: the time machine puzzle with decoy buttons, the LED strips along the floor and LED window simulating fire, the candle puzzle using Hall-Effect sensors and a servo controlled chest, the morse code puzzle, the final table puzzle with Hall-Effect sensor triggered gears, and the Amazon Echo Dot for hints along the way. Each puzzle and segment of the escape room communicated with the gear table and the Echo Dot through WiFi chips, enabling the escape room to become an IoT project.  Our goal for this past year was to build off the idea of the escape room and make mini game tables to place around the engineering school, but unfortunately we were not able to finish these projects due to not returning to grounds.Many of our past projects have been along the same line as these. We have completed the Mechatronic Clock that is hanging in the mechanical engineering building and several other smaller projects, as listed below.HooTime - A clock that mechanically writes the time on Boogie Boards. The time is erased every minute and changed.Hand Sensing - A glove contraption that tells the computer exactly what angle and orientation the hand is in. Works by using potentiometers and a microcontroller.",40,zero,0,Experiential Learning Fund,0,Neither,Weekly,3,April ,Fall & Spring Semester,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/7/2020 17:05,Approved,Contracted Independent Organization,The Machine Learning Club at the University of Virginia,MLCUVA,Engineering,Predominantly Undergraduate Students,2016,Hackathons - A team of around four members attend a hackathon to work on a machine learning or data science project.Speakers - A Skype call or in person presentation with someone who has is involved with machine learning or data science. Events such as this would be made available to people outside of our organization.Tutorial Series - A series of workshop lessons that introduce people to machine learning.,20,Zero,0,grants,0,Neither,Weekly,2,January,Members can join at any time,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,Developing a Mission/Vision,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/5/2020 12:58,Approved,Contracted Independent Organization,Afro-Latinx Student Organization ,ALSO,No affiliated schools,Both Undergraduate and Graduate Students,2018,"Our primary events/programs will consist of executive meetings, general body meetings, community service, awareness programs (such as open dialogue events where we discuss topics related to Afro-Latinidad), and fundraisers.",20,zero,0,Grants,0,Neither,Monthly,5/every two weeks,September,Members can join at any time,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/27/2020 22:54,Approved,CIO - Law ,Health Law Association at UVA,HLA,Law,Predominantly Graduate Students,2015,Speaker events; Career guidance events; Pro bono activities; Health law conferences; Mixers with similarly interested groups,50,5,0,Law School Foundation,0,Neither,Monthly,We host events monthly and each event lasts approximately 1.5 hours,April ,Fall semester,,,,,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/23/2020 15:40,Approved,Contracted Independent Organization,qMD ,queer MD,Medicine,Predominantly Graduate Students,2015,Sponsor annual National Coming Out Day celebration at UVA hospital and medical schoolSponsor bi-annual speakers regarding LGBT patient careSponsor Safe Space training for rising third year medical studentsSponsor several mixers open to all queer graduate groups at the UniversityOffer health screenings for the Charlottesville community at the annual CVille Pride Festival,20,Zero,0,"Mulholland Society, Medical Alumni Association",0,Neither,Monthly,0.5,April ,Members can join at any time,,Planning Events,,,,Recruiting New Members,,Community Building/Icebreakers,,,Developing a Mission/Vision,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/2/2020 17:45,Approved,Contracted Independent Organization,Arts Grounds Guides ,AGG,No affiliated schools,Predominantly Undergraduate Students,2016,Guide Service; Training for Incoming Arts Grounds Guides; Tours of Arts Grounds for Prospective Students and their Families,15,Zero,0,N/A,0,Both,Monthly,1,May,Fall semester,Marketing,,,,Transitioning Officers,Recruiting New Members,,,Motivating Members,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary",n/a
4/29/2020 14:09,Approved,Contracted Independent Organization,College Diabetes Network at the University of Virginia,CDN at UVA,No affiliated schools,Predominantly Undergraduate Students,2012,"Discussions, guest speaker, dinner meetings, advocacy events, World  Diabetes Day, advocacy, community involvement.",20,Zero,0,National organization,0,Neither,Monthly,0-2,April ,Members can join at any time,,,,,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/26/2020 15:23,Approved,Contracted Independent Organization,Greens to Grounds ,Greens to Grounds,No affiliated schools,Predominantly Undergraduate Students,2013,Work with local farmersSell local produce weekly and at farmer's marketsEducate about sustainable agricultureHold events to promote sustainable agriculture and food accessibility Curate a informational blog on local food,25,zero,0,"Parent's Fund, Jeff Trust, customers",0,Both,Weekly,1 hour,May,Fall & Spring Semester,Marketing,,,,,,,,,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"No, I am not, but I am the only one who makes sense to renew the organization at this time.",n/a
4/10/2020 13:37,Approved,Contracted Independent Organization,Student Organization for Caribbean Awareness,SOCA,Arts and Sciences,Predominantly Undergraduate Students,2010,Volunteering Cultural Events Topic ForumsFundraising,50,$7 ,$10 ,"Parents Fund, SAF",$0 ,Neither,Monthly,2-Jan,May,Members can join at any time,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,Recruiting New Members,,,,,Developing a Mission/Vision,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/29/2020 15:10,Approved,Contracted Independent Organization,180 Degrees Consulting at UVA,180DC at UVA,No affiliated schools,Predominantly Undergraduate Students,2018,"Team meetings occur weekly to work on consulting projects with a specified non-profit organization. Large group meetings occur less frequently, once or twice a month, to provide training and professional development resources.",20,zero,0,SAF,0,Both,Weekly,6,January,Fall semester,,,Reserving Spaces,,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/21/2020 12:37,Approved,Contracted Independent Organization,Spikeball Club at the University of Virginia (UVA),Club Spikeball,No affiliated schools,Predominantly Undergraduate Students,2017,Weekly practiceTournamentsSocial Activites,40,10,0,SAF,0,Neither,Weekly,4-Jan,April ,Fall semester,,,,Fundraising/Budgeting/Co-Sponsorships,,,,,,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/30/2020 2:02,Approved,Contracted Independent Organization,undocUVA,undocUVA,Arts and Sciences,Both Undergraduate and Graduate Students,2015,"The main event that is in currently in the agenda is a program called UndocuAlly Training.  Participation in the UndocuAlly training consists of one day (6 hour total) of attendance.  This training is designed for students, faculty, administration members, and UVa affiliated members who are committing themselves to actively learn about themselves, others and the experiences and challenges that undocumented students face both locally (on and off-grounds) and nationally.  They willfully have to make an effort to become more knowledgeable about the issues surrounding undocumented students.   Other components of the training include, but are not limited to, continued exploration and awareness of power and privilege, and supporting and advocating of undocumented students.  This organization will make sure the participants understand that the identities and experiences of undocumented students are diverse and not always hinged upon migrant legal status, but sometimes on varying racial-ethnic, sexual, socioeconomic, and gender factors.  This training serves as a learning tool however it goes beyond that, it is designed to encourage advocacy efforts on and off grounds.  It serves to encourage the participants to remain informed about the issues discussed, even after they leave the training.  We push for participants to incorporate undocu+ friendly language and frameworks into their pedagogy and into their programming.   We instill in the participants that revealing the status of others without their permission is harmful.  We motivate participants to become aware of their campus resources that are available to undocu+ people, so as to direct any student towards those support networks when needed. 	We are currently planning undocu+ Week as well which takes place in March.  We have already been approached by two amazing organizations who would like to co-sponsor.  One organization is interested in having a movie night.  Other ideas on the table are Trivia Night about the citizenship process and a Panel Discussion with experts in Immigration law.  Since we are having our undocu+ Week in correlation with DMV undocu orgs we will have a bigger audience, hopefully.  We will have a joint event with DMV undocu orgs on the last day and will come together to debrief on future events.",300,zero,0,SAF,0,Neither,Weekly,2,May,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/11/2020 15:03,Approved,Contracted Independent Organization,Shotokan Karate Club at The University of Virginia,Shotokan Karate Club,No affiliated schools,Both Undergraduate and Graduate Students,1997,"Feel free to show up at any point during the school year. Everyone is welcome, you do not have to join at the beginning of a semester.- Meeting Times/Places for Fall 2019: Tuesday at 7:30 P.M, at AFC 2, Thursday at 7:30 P.M, at AFC 2, Sunday at 4 P.M, at AFC 2.(Meeting times/locations change each semester, but will be updated here)Regular training, examinations for rank promotion, tournaments, camps, social nights.",29,Zero,,SAF,0,Neither,Weekly,5-Feb,September,Members can join at any time,,Planning Events,,,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary",n/a
5/5/2020 12:12,Approved,Contracted Independent Organization,Men's Water Polo Club at the University of Virginia,,No affiliated schools,Predominantly Undergraduate Students,1979,#ERROR!,25,170,50,"SAF, Parents Fund",0,Neither,Weekly,4,April ,Fall & Spring Semester,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/18/2020 19:03,Approved,Contracted Independent Organization,One for the World at UVA,OFTW at UVA,No affiliated schools,Predominantly Undergraduate Students,2020,"Every semester, we host a week-long series of events where we encourage the UVA community to learn about effective giving and global extreme poverty,  while motivating them to take the 1% pledge. This includes daily tabling, one-on-one conversations, and usually a speaker event. Last semester, we live streamed Peter Singer's lecture and invited Professor Gelsdorf to speak. We recruit a cohort of ""Student Ambassadors"" each semester who attend training sessions to learn about OFTW and effective altruism.",50,Zero,"Members usually take the one percent pledge, giving one percent of their post-grad salary to highly effective charities.","Student Council, One for the World Headquarters",0,Application,Monthly,2,April ,Fall & Spring Semester,Marketing,,Reserving Spaces,,,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/1/2020 11:41,Approved,Contracted Independent Organization,Virginia Case Club,VCC,Commerce (McIntire),Predominantly Undergraduate Students,2016,"1) Biweekly meetings and development sessions to train both new and returning members on business fundamentals and advanced strategies to solve business case problems and to engage members in discussion and mentorship. 2) Regular participation in local, nationwide and global business case competitions, including the Deloitte Local Undergraduate Case Competition, the Ankura-McIntire Case Competition, the PwC Challenge Case Competition at UVA, the UPitt Analytics Case Competition, and so on.",40,Zero,0,University funding,0,Both,Weekly,3,May,Fall semester,,,,,,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/4/2020 16:36,Approved,CIO - Law ,Virginia Law Democrats,,Law,Predominantly Graduate Students,2008,"Outside speakers and professor panels, voter protection and get out the vote efforts, socials.",30,zero,,"UVA Law Foundation, SAF",0,Neither,Monthly,Zero,April ,Fall semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/27/2020 23:14,Approved,Contracted Independent Organization,Pakistani Students' Association,PSA,No affiliated schools,Both Undergraduate and Graduate Students,2014,Basant FestivalCricket MelaMehfilAnnual Charity Banquet,100,20,25,"VPSA, CPB, Parents' Fund",0,Neither,Monthly,2,April ,Fall & Spring Semester,,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
